common_name,category,CID,AtomStereoCount,BondStereoCount,Charge,Complexity,ConnectivitySMILES,CovalentUnitCount,ExactMass,HBondAcceptorCount,HBondDonorCount,HeavyAtomCount,IUPACName,InChI,InChIKey,MolecularFormula,MolecularWeight,MonoisotopicMass,RotatableBondCount,SMILES,TPSA,XLogP,sdf_file
Escaline,Phenethylamine Psychedelics,38240,0,0,0,175,CCOC1=C(C=C(C=C1OC)CCN)OC,1,225.13649347,4,1,16,"2-(4-ethoxy-3,5-dimethoxyphenyl)ethanamine","InChI=1S/C12H19NO3/c1-4-16-12-10(14-2)7-9(5-6-13)8-11(12)15-3/h7-8H,4-6,13H2,1-3H3",RHOGRSKNWDNCDN-UHFFFAOYSA-N,C12H19NO3,225.28,225.13649347,6,CCOC1=C(C=C(C=C1OC)CCN)OC,53.7,1.2,Escaline_38240.sdf
Allylescaline,Phenethylamine Psychedelics,44719469,0,0,0,209,COC1=CC(=CC(=C1OCC=C)OC)CCN,1,237.13649347,4,1,17,"2-(3,5-dimethoxy-4-prop-2-enoxyphenyl)ethanamine","InChI=1S/C13H19NO3/c1-4-7-17-13-11(15-2)8-10(5-6-14)9-12(13)16-3/h4,8-9H,1,5-7,14H2,2-3H3",JNUAYHHGCXYBHX-UHFFFAOYSA-N,C13H19NO3,237.29,237.13649347,7,COC1=CC(=CC(=C1OCC=C)OC)CCN,53.7,1.4,Allylescaline_44719469.sdf
Amphetamine,Substituted Amphetamines,3007,1,0,0,84,CC(CC1=CC=CC=C1)N,1,135.104799419,1,1,10,1-phenylpropan-2-amine,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",KWTSXDURSIMDCE-UHFFFAOYSA-N,C9H13N,135.21,135.104799419,2,CC(CC1=CC=CC=C1)N,26,1.8,Amphetamine_3007.sdf
Methamphetamine,Substituted Amphetamines,10836,1,0,0,95,CC(CC1=CC=CC=C1)NC,1,149.120449483,1,1,11,(2S)-N-methyl-1-phenylpropan-2-amine,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",MYWUZJCMWCOHBA-VIFPVBQESA-N,C10H15N,149.23,149.120449483,3,C[C@@H](CC1=CC=CC=C1)NC,12,2.1,Methamphetamine_10836.sdf
MDMA,Substituted Amphetamines,1615,1,0,0,186,CC(CC1=CC2=C(C=C1)OCO2)NC,1,193.110278721,3,1,14,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine","InChI=1S/C11H15NO2/c1-8(12-2)5-9-3-4-10-11(6-9)14-7-13-10/h3-4,6,8,12H,5,7H2,1-2H3",SHXWCVYOXRDMCX-UHFFFAOYSA-N,C11H15NO2,193.24,193.110278721,3,CC(CC1=CC2=C(C=C1)OCO2)NC,30.5,2.2,MDMA_1615.sdf
MDEA,Substituted Amphetamines,7767,0,0,0,43,CN(CCO)CCO,1,119.094628657,3,2,8,2-[2-hydroxyethyl(methyl)amino]ethanol,"InChI=1S/C5H13NO2/c1-6(2-4-7)3-5-8/h7-8H,2-5H2,1H3",CRVGTESFCCXCTH-UHFFFAOYSA-N,C5H13NO2,119.16,119.094628657,4,CN(CCO)CCO,43.7,-1.1,MDEA_7767.sdf
MDE,Substituted Amphetamines,105039,1,0,0,198,CCNC(C)CC1=CC2=C(C=C1)OCO2,1,207.125928785,3,1,15,"1-(1,3-benzodioxol-5-yl)-N-ethylpropan-2-amine","InChI=1S/C12H17NO2/c1-3-13-9(2)6-10-4-5-11-12(7-10)15-8-14-11/h4-5,7,9,13H,3,6,8H2,1-2H3",PVXVWWANJIWJOO-UHFFFAOYSA-N,C12H17NO2,207.27,207.125928785,4,CCNC(C)CC1=CC2=C(C=C1)OCO2,30.5,2.5,MDE_105039.sdf
MBDB,Substituted Amphetamines,124844,1,0,0,198,CCC(CC1=CC2=C(C=C1)OCO2)NC,1,207.125928785,3,1,15,"1-(1,3-benzodioxol-5-yl)-N-methylbutan-2-amine","InChI=1S/C12H17NO2/c1-3-10(13-2)6-9-4-5-11-12(7-9)15-8-14-11/h4-5,7,10,13H,3,6,8H2,1-2H3",USWVWJSAJAEEHQ-UHFFFAOYSA-N,C12H17NO2,207.27,207.125928785,4,CCC(CC1=CC2=C(C=C1)OCO2)NC,30.5,2.7,MBDB_124844.sdf
BDB,Substituted Amphetamines,129870,1,0,0,186,CCC(CC1=CC2=C(C=C1)OCO2)N,1,193.110278721,3,1,14,"1-(1,3-benzodioxol-5-yl)butan-2-amine","InChI=1S/C11H15NO2/c1-2-9(12)5-8-3-4-10-11(6-8)14-7-13-10/h3-4,6,9H,2,5,7,12H2,1H3",VHMRXGAIDDCGDU-UHFFFAOYSA-N,C11H15NO2,193.24,193.110278721,3,CCC(CC1=CC2=C(C=C1)OCO2)N,44.5,2.2,BDB_129870.sdf
4-Fluoroamphetamine,Substituted Amphetamines,9986,1,0,0,108,CC(CC1=CC=C(C=C1)F)N,1,153.095377549,2,1,11,1-(4-fluorophenyl)propan-2-amine,"InChI=1S/C9H12FN/c1-7(11)6-8-2-4-9(10)5-3-8/h2-5,7H,6,11H2,1H3",DGXWNDGLEOIEGT-UHFFFAOYSA-N,C9H12FN,153.20,153.095377549,2,CC(CC1=CC=C(C=C1)F)N,26,1.9,4-Fluoroamphetamine_9986.sdf
2-Fluoroamphetamine,Substituted Amphetamines,121531,1,0,0,116,CC(CC1=CC=CC=C1F)N,1,153.095377549,2,1,11,1-(2-fluorophenyl)propan-2-amine,"InChI=1S/C9H12FN/c1-7(11)6-8-4-2-3-5-9(8)10/h2-5,7H,6,11H2,1H3",GDSXNLDTQFFIEU-UHFFFAOYSA-N,C9H12FN,153.20,153.095377549,2,CC(CC1=CC=CC=C1F)N,26,1.8,2-Fluoroamphetamine_121531.sdf
Fenfluramine,Substituted Amphetamines,3337,1,0,0,203,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,1,231.12348400,4,1,16,N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine,"InChI=1S/C12H16F3N/c1-3-16-9(2)7-10-5-4-6-11(8-10)12(13,14)15/h4-6,8-9,16H,3,7H2,1-2H3",DBGIVFWFUFKIQN-UHFFFAOYSA-N,C12H16F3N,231.26,231.12348400,4,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,12,3.4,Fenfluramine_3337.sdf
Phentermine,Substituted Amphetamines,4771,0,0,0,112,CC(C)(CC1=CC=CC=C1)N,1,149.120449483,1,1,11,2-methyl-1-phenylpropan-2-amine,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3",DHHVAGZRUROJKS-UHFFFAOYSA-N,C10H15N,149.23,149.120449483,2,CC(C)(CC1=CC=CC=C1)N,26,1.9,Phentermine_4771.sdf
Ketamine,Dissociatives,3821,1,0,0,269,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,1,237.0920418,2,1,16,2-(2-chlorophenyl)-2-(methylamino)cyclohexan-1-one,"InChI=1S/C13H16ClNO/c1-15-13(9-5-4-8-12(13)16)10-6-2-3-7-11(10)14/h2-3,6-7,15H,4-5,8-9H2,1H3",YQEZLKZALYSWHR-UHFFFAOYSA-N,C13H16ClNO,237.72,237.0920418,2,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,29.1,2.2,Ketamine_3821.sdf
Phencyclidine,Dissociatives,6468,0,0,0,242,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,1,243.198699802,1,0,18,1-(1-phenylcyclohexyl)piperidine,"InChI=1S/C17H25N/c1-4-10-16(11-5-1)17(12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11H,2-3,6-9,12-15H2",JTJMJGYZQZDUJJ-UHFFFAOYSA-N,C17H25N,243.4,243.198699802,2,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,3.2,3.6,Phencyclidine_6468.sdf
Dextromethorphan,Dissociatives,5360696,3,0,0,370,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,1,271.193614421,2,0,20,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene","InChI=1S/C18H25NO/c1-19-10-9-18-8-4-3-5-15(18)17(19)11-13-6-7-14(20-2)12-16(13)18/h6-7,12,15,17H,3-5,8-11H2,1-2H3/t15-,17+,18+/m1/s1",MKXZASYAUGDDCJ-NJAFHUGGSA-N,C18H25NO,271.4,271.193614421,1,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,12.5,3.4,Dextromethorphan_5360696.sdf
Methoxetamine,Dissociatives,52911279,1,0,0,292,CCNC1(CCCCC1=O)C2=CC(=CC=C2)OC,1,247.157228913,3,1,18,2-(ethylamino)-2-(3-methoxyphenyl)cyclohexan-1-one,"InChI=1S/C15H21NO2/c1-3-16-15(10-5-4-9-14(15)17)12-7-6-8-13(11-12)18-2/h6-8,11,16H,3-5,9-10H2,1-2H3",LPKTWLVEGBNOOX-UHFFFAOYSA-N,C15H21NO2,247.33,247.157228913,4,CCNC1(CCCCC1=O)C2=CC(=CC=C2)OC,38.3,2.3,Methoxetamine_52911279.sdf
3-MeO-PCP,Dissociatives,11778080,0,0,0,292,COC1=CC=CC(=C1)C2(CCCCC2)N3CCCCC3,1,273.209264485,2,0,20,1-[1-(3-methoxyphenyl)cyclohexyl]piperidine,"InChI=1S/C18H27NO/c1-20-17-10-8-9-16(15-17)18(11-4-2-5-12-18)19-13-6-3-7-14-19/h8-10,15H,2-7,11-14H2,1H3",BQQSZHHKGPOXLN-UHFFFAOYSA-N,C18H27NO,273.4,273.209264485,3,COC1=CC=CC(=C1)C2(CCCCC2)N3CCCCC3,12.5,3.6,3-MeO-PCP_11778080.sdf
3-HO-PCP,Dissociatives,133277,0,0,0,279,C1CCC(CC1)(C2=CC(=CC=C2)O)N3CCCCC3,1,259.193614421,2,1,19,3-(1-piperidin-1-ylcyclohexyl)phenol,"InChI=1S/C17H25NO/c19-16-9-7-8-15(14-16)17(10-3-1-4-11-17)18-12-5-2-6-13-18/h7-9,14,19H,1-6,10-13H2",AMSXTZUCNOKUEN-UHFFFAOYSA-N,C17H25NO,259.4,259.193614421,2,C1CCC(CC1)(C2=CC(=CC=C2)O)N3CCCCC3,23.5,3.3,3-HO-PCP_133277.sdf
Dizocilpine,Dissociatives,180081,2,0,0,313,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24,1,221.120449483,1,1,17,"(1S,9R)-1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene","InChI=1S/C16H15N/c1-16-13-8-4-2-6-11(13)10-15(17-16)12-7-3-5-9-14(12)16/h2-9,15,17H,10H2,1H3/t15-,16+/m1/s1",LBOJYSIDWZQNJS-CVEARBPZSA-N,C16H15N,221.30,221.120449483,0,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,12,2.8,Dizocilpine_180081.sdf
Memantine,Dissociatives,4054,2,0,0,240,CC12CC3CC(C1)(CC(C3)(C2)N)C,1,179.167399674,1,1,13,"3,5-dimethyladamantan-1-amine","InChI=1S/C12H21N/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10/h9H,3-8,13H2,1-2H3",BUGYDGFZZOZRHP-UHFFFAOYSA-N,C12H21N,179.30,179.167399674,0,CC12CC3CC(C1)(CC(C3)(C2)N)C,26,3.3,Memantine_4054.sdf
Nitrous oxide,Dissociatives,948,0,0,0,25,[N-]=[N+]=O,1,44.001062628,2,0,3,nitrous oxide,InChI=1S/N2O/c1-2-3,GQPLMRYTRLFLPF-UHFFFAOYSA-N,N2O,44.013,44.001062628,0,[N-]=[N+]=O,19.1,0.5,Nitrous_oxide_948.sdf
Tiletamine,Dissociatives,26533,1,0,0,244,CCNC1(CCCCC1=O)C2=CC=CS2,1,223.10308534,3,1,15,2-(ethylamino)-2-thiophen-2-ylcyclohexan-1-one,"InChI=1S/C12H17NOS/c1-2-13-12(11-7-5-9-15-11)8-4-3-6-10(12)14/h5,7,9,13H,2-4,6,8H2,1H3",QAXBVGVYDCAVLV-UHFFFAOYSA-N,C12H17NOS,223.34,223.10308534,3,CCNC1(CCCCC1=O)C2=CC=CS2,57.3,2,Tiletamine_26533.sdf
Deschloroketamine,Dissociatives,437168,1,0,0,233,CNC1(CCCCC1=O)C2=CC=CC=C2,1,203.131014166,2,1,15,2-(methylamino)-2-phenylcyclohexan-1-one,"InChI=1S/C13H17NO/c1-14-13(10-6-5-9-12(13)15)11-7-3-2-4-8-11/h2-4,7-8,14H,5-6,9-10H2,1H3",ZAGBSZSITDFFAF-UHFFFAOYSA-N,C13H17NO,203.28,203.131014166,2,CNC1(CCCCC1=O)C2=CC=CC=C2,29.1,1.6,Deschloroketamine_437168.sdf
Tetrahydrocannabinol,Cannabinoids,16078,2,0,0,439,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1,314.224580195,2,1,23,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol","InChI=1S/C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h11-13,16-17,22H,5-10H2,1-4H3/t16-,17-/m1/s1",CYQFCXCEBYINGO-IAGOWNOFSA-N,C21H30O2,314.5,314.224580195,4,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,29.5,7,Tetrahydrocannabinol_16078.sdf
Cannabidiol,Cannabinoids,644019,2,0,0,414,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,1,314.224580195,2,2,23,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol","InChI=1S/C21H30O2/c1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t17-,18+/m0/s1",QHMBSVQNZZTUGM-ZWKOTPCHSA-N,C21H30O2,314.5,314.224580195,6,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,40.5,6.5,Cannabidiol_644019.sdf
Cannabinol,Cannabinoids,2543,0,0,0,391,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,1,310.193280068,2,1,23,"6,6,9-trimethyl-3-pentylbenzo[c]chromen-1-ol","InChI=1S/C21H26O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h9-13,22H,5-8H2,1-4H3",VBGLYOIFKLUMQG-UHFFFAOYSA-N,C21H26O2,310.4,310.193280068,4,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,29.5,6.1,Cannabinol_2543.sdf
Cannabigerol,Cannabinoids,5315659,0,1,0,367,CCCCCC1=CC(=C(C(=C1)O)CC=C(C)CCC=C(C)C)O,1,316.240230259,2,2,23,"2-[(2E)-3,7-dimethylocta-2,6-dienyl]-5-pentylbenzene-1,3-diol","InChI=1S/C21H32O2/c1-5-6-7-11-18-14-20(22)19(21(23)15-18)13-12-17(4)10-8-9-16(2)3/h9,12,14-15,22-23H,5-8,10-11,13H2,1-4H3/b17-12+",QXACEHWTBCFNSA-SFQUDFHCSA-N,C21H32O2,316.5,316.240230259,9,CCCCCC1=CC(=C(C(=C1)O)C/C=C(\C)/CCC=C(C)C)O,40.5,7.4,Cannabigerol_5315659.sdf
Cannabichromene,Cannabinoids,30219,1,0,0,422,CCCCCC1=CC(=C2C=CC(OC2=C1)(C)CCC=C(C)C)O,1,314.224580195,2,1,23,2-methyl-2-(4-methylpent-3-enyl)-7-pentylchromen-5-ol,"InChI=1S/C21H30O2/c1-5-6-7-10-17-14-19(22)18-11-13-21(4,23-20(18)15-17)12-8-9-16(2)3/h9,11,13-15,22H,5-8,10,12H2,1-4H3",UVOLYTDXHDXWJU-UHFFFAOYSA-N,C21H30O2,314.5,314.224580195,7,CCCCCC1=CC(=C2C=CC(OC2=C1)(C)CCC=C(C)C)O,29.5,6.9,Cannabichromene_30219.sdf
Tetrahydrocannabivarin,Cannabinoids,93147,2,0,0,412,CCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1,286.193280068,2,1,21,"(6aR,10aR)-6,6,9-trimethyl-3-propyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol","InChI=1S/C19H26O2/c1-5-6-13-10-16(20)18-14-9-12(2)7-8-15(14)19(3,4)21-17(18)11-13/h9-11,14-15,20H,5-8H2,1-4H3/t14-,15-/m1/s1",ZROLHBHDLIHEMS-HUUCEWRRSA-N,C19H26O2,286.4,286.193280068,2,CCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,29.5,5.9,Tetrahydrocannabivarin_93147.sdf
Cannabidivarin,Cannabinoids,11601669,2,0,0,386,CCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,1,286.193280068,2,2,21,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-propylbenzene-1,3-diol","InChI=1S/C19H26O2/c1-5-6-14-10-17(20)19(18(21)11-14)16-9-13(4)7-8-15(16)12(2)3/h9-11,15-16,20-21H,2,5-8H2,1,3-4H3/t15-,16+/m0/s1",REOZWEGFPHTFEI-JKSUJKDBSA-N,C19H26O2,286.4,286.193280068,4,CCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,40.5,5.4,Cannabidivarin_11601669.sdf
Anandamide,Cannabinoids,5281969,0,4,0,408,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCO,1,347.282429423,2,2,25,"(5Z,8Z,11Z,14Z)-N-(2-hydroxyethyl)icosa-5,8,11,14-tetraenamide","InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-",LGEQQWMQCRIYKG-DOFZRALJSA-N,C22H37NO2,347.5,347.282429423,16,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,49.3,5.4,Anandamide_5281969.sdf
2-Arachidonoylglycerol,Cannabinoids,5282280,0,4,0,445,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO,1,378.27700969,4,2,27,"1,3-dihydroxypropan-2-yl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate","InChI=1S/C23H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-22(20-24)21-25/h6-7,9-10,12-13,15-16,22,24-25H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",RCRCTBLIHCHWDZ-DOFZRALJSA-N,C23H38O4,378.5,378.27700969,18,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO,66.8,5.3,2-Arachidonoylglycerol_5282280.sdf
JWH-018,Cannabinoids,10382701,0,0,0,475,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,1,341.177964357,1,0,26,naphthalen-1-yl-(1-pentylindol-3-yl)methanone,"InChI=1S/C24H23NO/c1-2-3-8-16-25-17-22(20-13-6-7-15-23(20)25)24(26)21-14-9-11-18-10-4-5-12-19(18)21/h4-7,9-15,17H,2-3,8,16H2,1H3",JDNLPKCAXICMBW-UHFFFAOYSA-N,C24H23NO,341.4,341.177964357,6,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,22,6.3,JWH-018_10382701.sdf
JWH-073,Cannabinoids,10471670,0,0,0,461,CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,1,327.162314293,1,0,25,(1-butylindol-3-yl)-naphthalen-1-ylmethanone,"InChI=1S/C23H21NO/c1-2-3-15-24-16-21(19-12-6-7-14-22(19)24)23(25)20-13-8-10-17-9-4-5-11-18(17)20/h4-14,16H,2-3,15H2,1H3",VCHHHSMPMLNVGS-UHFFFAOYSA-N,C23H21NO,327.4,327.162314293,5,CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,22,5.8,JWH-073_10471670.sdf
HU-210,Cannabinoids,9821569,2,0,0,550,CCCCCCC(C)(C)C1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)CO)O,1,386.28209507,3,2,28,"(6aR,10aR)-9-(hydroxymethyl)-6,6-dimethyl-3-(2-methyloctan-2-yl)-6a,7,10,10a-tetrahydrobenzo[c]chromen-1-ol","InChI=1S/C25H38O3/c1-6-7-8-9-12-24(2,3)18-14-21(27)23-19-13-17(16-26)10-11-20(19)25(4,5)28-22(23)15-18/h10,14-15,19-20,26-27H,6-9,11-13,16H2,1-5H3/t19-,20-/m1/s1",SSQJFGMEZBFMNV-WOJBJXKFSA-N,C25H38O3,386.6,386.28209507,7,CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)CO)O,49.7,6.4,HU-210_9821569.sdf
CP 55940,Cannabinoids,104895,3,0,0,408,CCCCCCC(C)(C)C1=CC(=C(C=C1)C2CC(CCC2CCCO)O)O,1,376.29774513,3,3,27,"2-[(1R,2R,5R)-5-hydroxy-2-(3-hydroxypropyl)cyclohexyl]-5-(2-methyloctan-2-yl)phenol","InChI=1S/C24H40O3/c1-4-5-6-7-14-24(2,3)19-11-13-21(23(27)16-19)22-17-20(26)12-10-18(22)9-8-15-25/h11,13,16,18,20,22,25-27H,4-10,12,14-15,17H2,1-3H3/t18-,20-,22-/m1/s1",YNZFFALZMRAPHQ-SYYKKAFVSA-N,C24H40O3,376.6,376.29774513,10,CCCCCCC(C)(C)C1=CC(=C(C=C1)[C@@H]2C[C@@H](CC[C@H]2CCCO)O)O,60.7,6.1,CP_55940_104895.sdf
WIN 55212-2,Cannabinoids,5311501,1,0,0,680,CC1=C(C2=C3N1C(COC3=CC=C2)CN4CCOCC4)C(=O)C5=CC=CC6=CC=CC=C65,1,426.19434270,4,0,32,"[(11R)-2-methyl-11-(morpholin-4-ylmethyl)-9-oxa-1-azatricyclo[6.3.1.04,12]dodeca-2,4(12),5,7-tetraen-3-yl]-naphthalen-1-ylmethanone","InChI=1S/C27H26N2O3/c1-18-25(27(30)22-9-4-7-19-6-2-3-8-21(19)22)23-10-5-11-24-26(23)29(18)20(17-32-24)16-28-12-14-31-15-13-28/h2-11,20H,12-17H2,1H3/t20-/m1/s1",HQVHOQAKMCMIIM-HXUWFJFHSA-N,C27H26N2O3,426.5,426.19434270,4,CC1=C(C2=C3N1[C@@H](COC3=CC=C2)CN4CCOCC4)C(=O)C5=CC=CC6=CC=CC=C65,43.7,4.4,WIN_55212-2_5311501.sdf
Nabilone,Cannabinoids,5284592,2,0,0,524,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,1,372.26644501,3,1,27,"(6aR,10aR)-1-hydroxy-6,6-dimethyl-3-(2-methyloctan-2-yl)-7,8,10,10a-tetrahydro-6aH-benzo[c]chromen-9-one","InChI=1S/C24H36O3/c1-6-7-8-9-12-23(2,3)16-13-20(26)22-18-15-17(25)10-11-19(18)24(4,5)27-21(22)14-16/h13-14,18-19,26H,6-12,15H2,1-5H3/t18-,19-/m1/s1",GECBBEABIDMGGL-RTBURBONSA-N,C24H36O3,372.5,372.26644501,6,CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=O)CC[C@H]3C(OC2=C1)(C)C)O,46.5,6.4,Nabilone_5284592.sdf
Dronabinol,Cannabinoids,16078,2,0,0,439,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1,314.224580195,2,1,23,"(6aR,10aR)-6,6,9-trimethyl-3-pentyl-6a,7,8,10a-tetrahydrobenzo[c]chromen-1-ol","InChI=1S/C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h11-13,16-17,22H,5-10H2,1-4H3/t16-,17-/m1/s1",CYQFCXCEBYINGO-IAGOWNOFSA-N,C21H30O2,314.5,314.224580195,4,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,29.5,7,Dronabinol_16078.sdf
Morphine,Opioids,5288826,5,0,0,494,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1,285.13649347,4,2,21,"(4R,4aR,7S,7aR,12bS)-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7,9-diol","InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1",BQJCRHHNABKAKU-KBQPJGBKSA-N,C17H19NO3,285.34,285.13649347,0,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,52.9,0.8,Morphine_5288826.sdf
Codeine,Opioids,5284371,5,0,0,509,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,1,299.15214353,4,1,22,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol","InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",OROGSEYTTFOCAN-DNJOTXNNSA-N,C18H21NO3,299.4,299.15214353,1,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O,41.9,1.1,Codeine_5284371.sdf
Heroin,Opioids,5462328,5,0,0,692,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,1,369.15762283,6,0,27,"[(4R,4aR,7S,7aR,12bS)-9-acetyloxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-yl] acetate","InChI=1S/C21H23NO5/c1-11(23)25-16-6-4-13-10-15-14-5-7-17(26-12(2)24)20-21(14,8-9-22(15)3)18(13)19(16)27-20/h4-7,14-15,17,20H,8-10H2,1-3H3/t14-,15+,17-,20-,21-/m0/s1",GVGLGOZIDCSQPN-PVHGPHFFSA-N,C21H23NO5,369.4,369.15762283,4,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,65.1,1.5,Heroin_5462328.sdf
